Video Time,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted,Valence,Arousal,Action Unit 01 - Inner Brow Raiser,Action Unit 02 - Outer Brow Raiser,Action Unit 04 - Brow Lowerer,Action Unit 05 - Upper Lid Raiser,Action Unit 06 - Cheek Raiser,Action Unit 07 - Lid Tightener,Action Unit 09 - Nose Wrinkler,Action Unit 10 - Upper Lip Raiser,Action Unit 12 - Lip Corner Puller,Action Unit 14 - Dimpler,Action Unit 15 - Lip Corner Depressor,Action Unit 17 - Chin Raiser,Action Unit 18 - Lip Puckerer,Action Unit 20 - Lip Stretcher,Action Unit 23 - Lip Tightener,Action Unit 24 - Lip Pressor,Action Unit 25 - Lips Part,Action Unit 26 - Jaw Drop,Action Unit 27 - Mouth Stretch,Action Unit 43 - Eyes Closed,Stimulus,Event Marker,Interest,Boredom,Confusion
00:00.0,0.799201,0.0254881,0.2114919,0.00404526,0.01426011,0.001814838,0.003674906,-0.1860037,0.4407541,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.0,0.7962372,0.02549835,0.2128239,0.004948714,0.01565913,0.002832298,0.004608355,-0.1873256,0.4407541,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.1,0.7931465,0.02545848,0.2145153,0.005751465,0.01692588,0.003774857,0.005423883,-0.1890568,0.4400066,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,C,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.1,0.7899427,0.02537454,0.2166376,0.006465324,0.01816987,0.004639795,0.006134812,-0.191263,0.4389206,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,B,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.1,0.7860566,0.02520832,0.2194715,0.007105192,0.01935015,0.005377634,0.006735201,-0.1942631,0.4375157,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,B,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.2,0.78181,0.02495659,0.2224245,0.007615733,0.02040409,0.006066294,0.007200394,-0.1974679,0.4358111,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,B,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.2,0.7779949,0.02458726,0.2249747,0.008161635,0.02138953,0.006713135,0.007538265,-0.2003874,0.4339387,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.2,0.7741027,0.02415061,0.2275834,0.008830544,0.02255083,0.007276702,0.007767247,-0.2034328,0.4319198,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.3,0.7697386,0.0236642,0.2314483,0.009594034,0.02357925,0.007844418,0.007922147,-0.2077841,0.4297642,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,B,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
00:00.3,0.765547,0.02314219,0.2351385,0.01024715,0.02468284,0.008345329,0.008022471,-0.2119963,0.4274809,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,A,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,NotActive,No Stimulus,No Event Marker,UNKNOWN,UNKNOWN,UNKNOWN
