Source,Target,Group Source,Group Target
131 MARSILING FOOD HOUSE PTE. LTD.,,200817769R,
147 SERANGOON FOOD HOUSE PTE. LTD.,,200607484W,
147 SERANGOON FOOD HOUSE PTE. LTD.,,200607484W,
233 YISHUN KOPI POINT PTE. LTD.,,201605761R,
280 BISHAN FOOD HOUSE PTE. LTD.,,200702012K,
303 JURONG FOOD HOUSE PTE. LTD.,,200902437R,
555 AMK FOOD HOUSE PTE. LTD.,,200611456C,
7VISIONS DIGINET PTE. LTD.,,201531949M,
881 HOUGANG FOOD HOUSE PTE. LTD.,,200611948D,
ABN AMRO CLEARING BANK N.V. ,KEPPEL DC REIT MANAGEMENT PTE. LTD.,T09FC0093A,199508930C
ADVOCADO LABS PRIVATE LIMITED,,201524111C,
ADVOCADO PTE. LTD.,,201613142Z,
AGP ASIA HOLDING PTE. LTD.,ARMSTRONG INDUSTRIAL CORPORATION LIMITED,201312063N,198003808K
AGP ASIA HOLDING PTE. LTD.,,201312063N,
AIRE-MAX ASIA PTE. LTD.,,201817870K,
ALAN GOH KENG CHIAN ,KATRINA GROUP LTD.,SG459Z,201608344N
ALLEGRO ASIA HOLDINGS PTE LTD,ALLEGRO SOLUTIONS PTE LTD,SG199903669G,SG199903519H
ALLEGRO ASIA HOLDINGS PTE LTD,,SG199903669G,
ALLEGRO SOLUTIONS PTE LTD,,SG199903519H,
ALTLANTIC MARITIME GROUP FZE,Atlantic Maritime Ghana Private Limited,UATLANTICM,UAEATLANTICS
ALTLANTIC MARITIME GROUP FZE,Atlantic Ship Management LLC,UATLANTICM,UAEATLANTICS
ALTLANTIC MARITIME GROUP FZE,,UATLANTICM,
AMEREUS GROUP PTE. LTD.,CLEARBRIDGE HEALTH LIMITED,201330833R,201001436C
AMK 108 FOOD HOUSE PTE. LTD.,,201529681E,
AMK 339 FOOD HOUSE PTE. LTD.,,200918871R,
AMUSEMENT,,SG53053702L,
ANDREW TREVATT,CLEARBRIDGE HEALTH LIMITED,SG939J,201001436C
ANG CHAI CHENG,KATRINA GROUP LTD.,SG257D,201608344N
ANG CHER HOONG GINNY (HONG ZHIFEN GINNY),CLEARBRIDGE HEALTH LIMITED,SG895C,201001436C
ANG HOCK CHWEI,ATLANTIC NAVIGATION HOLDINGS (SINGAPORE) LIMITED,SG030G,200411055E
ANG KOK HUI,KIMLY LIMITED,SG760J,201613903R
ANG LAY HIONG (HONG LIXIANG),KIMLY LIMITED,SG279A,201613903R
ANG TIAN CHUA,KIMLY LIMITED,SG226I,201613903R
ANG WEE TAT,7VISIONS DIGINET PTE. LTD.,SG273B,201531949M
ANG WEE TAT,AMUSEMENT,SG273B,SG53053702L
ANG WEE TAT,APPLE TOURS PTE. LTD.,SG273B,201127993R
ANG WEE TAT,EU ASIA HOLIDAYS PTE. LTD.,SG273B,201317245C
ANG WEE TAT,EU HOLIDAYS PTE. LTD.,SG273B,201022285W
ANG WEE TAT,EU MICE PTE. LTD.,SG273B,201317237K
ANG WEE TAT,RUBBER SOLUTION ORGANISATION,SG273B,SG53191084M
ANG WEE TAT,TRAVELGURU,SG273B,SG53201242M
ANG WEE TAT,TRAVELGURU,SG273B,SG53268034X
ANIL SABNANI,SPIZE EVENTS PTE. LTD.,SG347B,200718144C
APPLE TOURS PTE. LTD.,,201127993R,
ARMSTRONG INDUSTRIAL CORPORATION LIMITED,ARMSTRONG INDUSTRIAL CORPORATION LIMITED,198003808K,198003808K
ARMSTRONG INDUSTRIAL CORPORATION LIMITED,ARMSTRONG MECHANICAL COMPONENTS COMPANY LIMITED,198003808K,0105540027158
ARMSTRONG INDUSTRIAL CORPORATION LIMITED,ARMSTRONG RUBBER AND CHEMICAL PRODUCTS COMPANY LIMITED,198003808K,0105533113656
ARMSTRONG INDUSTRIAL CORPORATION LIMITED,ARMSTRONG RUBBER TECHONLOGY (THAILAND) COMPANY LIMITED,198003808K,0145550000759
ARMSTRONG INDUSTRIAL CORPORATION LIMITED,Armstrong Weston Vietnam Co Ltd,198003808K,2300293858
ARMSTRONG INDUSTRIAL CORPORATION LIMITED,ARMSTRONG-ODENWALD (ASIA) PTE. LTD.,198003808K,199804040H
ARMSTRONG INDUSTRIAL CORPORATION LIMITED,HARDYFLEX INDUSTRIES SDN. BHD.,198003808K,176797-V
ARMSTRONG INDUSTRIAL CORPORATION LIMITED,,198003808K,
ARMSTRONG MECHANICAL COMPONENTS COMPANY LIMITED,,0105540027158,
ARMSTRONG RUBBER AND CHEMICAL PRODUCTS COMPANY LIMITED,,0105533113656,
ARMSTRONG RUBBER TECHONLOGY (THAILAND) COMPANY LIMITED,,0145550000759,
Armstrong Weston Vietnam Co Ltd,,2300293858,
ARMSTRONG-ODENWALD (ASIA) PTE. LTD.,,199804040H,
ARTEL TRADE LLC,,KGARTELT,
ASCOT SPORTS SDN. BHD.,,116517-U,
Atlantic Maritime Ghana Private Limited,,UAEATLANTICS,
