State,State Code,US_Regions,Total_murders_2010,Handguns_2010,Rifles_2010,Shotguns_2010,Firearms_2010,Knives_or_cutting_instruments_2010,Other_weapons_2010,Hands_fists_etc_2010,Total_murders_2009,Handguns_2009,Rifles_2009,Shotguns_2009,Firearms_2009,Knives_or_cutting_instruments_2009,Other_weapons_2009,Hands_fists_etc_2009,Total_murders_2011,Handguns_2011,Rifles_2011,Shotguns_2011,Firearms_2011,Knives_or_cutting_instruments_2011,Other_weapons_2011,Hands_fists_etc_2011
Alabama,AL,South,199,135,112,0,23,0,23,24,318,229,196,1,32,0,29,40,389,176,234,4,32,11,8,0
Alaska,AK,West,31,19,3,5,1,10,4,4,22,13,1,0,0,12,4,3,29,16,5,0,3,8,6,5
Arizona,AZ,West,352,232,152,14,10,56,51,62,328,197,164,10,10,13,61,53,339,222,165,14,9,34,49,59
Arkansas,AR,South,130,93,49,7,4,33,12,21,171,107,54,5,5,43,21,38,153,110,52,4,6,48,22,17
California,CA,West,1811,1257,953,59,44,201,250,201,1972,1360,1022,45,49,244,291,214,1790,1220,866,45,50,259,261,208
Colorado,CO,West,117,65,34,0,4,27,20,21,167,94,55,6,6,27,23,30,147,73,39,3,5,26,22,31
Connecticut,CT,Northeast,131,97,72,0,1,24,20,8,107,70,51,0,2,17,17,14,128,94,54,1,1,38,18,10
Delaware,DE,South,48,38,25,0,2,11,8,0,41,31,20,2,0,9,6,1,41,28,18,0,3,7,8,2
District of Columbia,DC,South,131,99,32,0,0,67,20,7,144,113,80,1,1,31,17,9,108,77,37,0,1,39,21,9
Florida,FA,South,457,315,19,21,21,64,85,2,650,450,23,21,23,76,110,12,445,387,238,10,18,19,46,145
Georgia,GA,South,527,376,315,19,21,21,64,85,543,378,323,17,19,19,56,97,522,370,326,16,16,12,61,83
Hawaii,HI,West,24,7,6,0,0,1,6,5,21,8,4,2,1,1,3,4,7,1,0,1,0,0,2,1
Idaho,ID,West,21,12,12,0,0,0,4,2,22,5,3,0,0,2,3,9,32,17,15,1,0,1,4,8
Illinois,IL,Midwest,453,364,355,3,1,5,30,43,479,386,360,5,8,13,39,48,452,377,364,1,5,7,29,29
Indiana,IN,Midwest,198,142,83,11,7,41,19,25,293,209,136,8,14,51,34,40,284,183,115,9,12,47,36,43
Iowa,IA,Midwest,38,21,9,1,4,7,4,9,34,11,3,1,3,4,8,6,44,19,7,0,2,10,10,10
Kansas,KS,Midwest,100,63,30,4,1,28,13,18,118,85,38,9,0,38,14,11,110,73,31,3,5,34,11,16
Kentucky,KY,South,180,116,76,6,16,18,19,25,170,112,90,5,6,11,22,27,150,100,77,6,5,12,13,24
Louisiana,LA,South,437,351,263,19,11,58,42,31,486,402,330,20,11,41,32,37,485,402,372,10,8,12,28,29
Maine,ME,Northeast,24,11,4,2,1,4,6,1,26,11,4,0,0,7,6,6,25,12,3,1,1,7,4,7
Maryland,MD,South,424,293,272,3,12,6,59,53,438,305,297,2,6,0,58,57,398,272,262,2,5,3,75,34
Massachusetts,MA,Northeast,209,118,52,0,1,65,50,31,169,93,47,2,1,43,40,29,183,122,52,0,1,69,30,22
Michigan,MI,Midwest,558,413,239,25,14,135,43,71,625,437,239,25,19,154,47,112,613,450,267,29,15,139,43,89
Minnesota,MN,Midwest,91,53,43,2,8,0,14,16,72,38,35,1,1,1,14,8,70,43,36,3,3,1,12,12
Mississippi,MS,South,165,120,98,3,12,7,21,19,151,105,83,9,6,7,22,15,187,138,121,6,4,7,26,14
Missouri,MO,Midwest,419,321,189,26,4,102,35,49,381,276,170,8,11,87,40,50,364,276,158,13,9,96,28,42
Montana,MT,West,21,12,6,2,4,0,3,5,28,19,9,2,5,3,4,2,18,7,2,3,1,1,4,5
Nebraska,NE,Midwest,51,32,29,1,2,0,8,5,40,23,22,1,0,0,8,4,65,42,35,2,1,4,7,9
Nevada,NV,West,158,84,57,5,6,16,22,34,156,91,66,1,3,21,25,27,129,75,46,2,1,26,20,25
New Hampshire,NH,Northeast,13,5,2,0,2,1,5,3,10,4,1,0,0,3,3,2,16,6,1,2,1,2,4,6
