ID,SentDate,report_type_id,ClickCount,DesktopClicks,DesktopOpens,Devices,EngagedReads,Ignored,Interactions,LinksClicked,LinksSent,Messages,MobileOpens,MobileClicks,MobileUnique,MultipleOpens,MultipleResponses,MultipleClicks,MultipleReads,NewOpens,NonUniqueClicks,NonUniqueOpens,Oof,OpenCount,OptOutCount,OptIns,ReadCount,ReadRate,Recipients,ReplyCount,Sent,Skimmed,UndeliverableCount,OpenRate,ReadsRate,ClickRate,AttentionRate,EffectiveRate,EngagementRate,UndeliverableRate,OofRate,OptOutRate,MultipleOpenRate,MultipleReadRate,ContentUtilization,EngagedReadRate,IgnoredRate,SkimmedRate,ForwardRate,ReplyRate,LeftOpen
0,2018-04-23T15:25:52.0100000+00:00,5,17,10,342,381,121,85,0,17,273,592,19,7,19,112,0,8,100,0,29,1106,10,254,1,0,134,0,0281,0,15,7992,35,3220,0,0532,0,0,0036,0,0354,0,1,0,4029,0,0021,0,0002,0,0235,0,021,0,0825,0,0254,-0,0178,0,0073,0,001,0,0031,129
1,2018-04-19T22:00:09.3130000+00:00,7,8,1,17,28,11,10,0,8,88,69,7,7,7,10,0,4,9,0,14,71,0,22,0,0,11,0,1392,0,1,79,1,0,0,2785,0,0,1013,0,1519,0,0,7855,0,0,0,0,1266,0,1139,0,1067,0,1392,-0,1266,0,0127,0,0,0127,11
1,2017-08-17T20:20:16.7630000+00:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018-04-23T15:25:52.0100000+00:00,7,0,0,9,11,4,1,0,0,29,32,0,0,0,3,0,0,4,0,0,37,0,8,0,0,5,0,1471,0,0,34,2,0,0,2353,0,0,0,2059,0,0,5872,0,0,0,0,0882,0,1176,0,0,1176,-0,0294,0,0588,0,0,4
2,2017-08-17T20:20:31.9430000+00:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018-04-17T16:57:20.7630000+00:00,7,0,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,3333,0,0,3,0,0,0,3333,0,0,0,3333,0,1,0,0,0,0,3333,0,3333,0,0,3333,0,0,0,0,1
3,2017-08-17T20:22:32.0870000+00:00,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017-08-17T21:10:50.2200000+00:00,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017-08-17T20:28:02.4230000+00:00,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018-04-18T04:01:05.8400000+00:00,7,0,0,3,5,3,0,0,0,0,15,2,0,2,3,0,0,4,0,0,14,0,4,0,0,4,0,1176,0,0,34,0,0,0,1176,0,0,0,1176,0,0,0887,0,0,0,0,0882,0,1176,0,0,0882,0,0,0,0,2
6,2017-09-06T18:57:59.2030000+00:00,7,1,1,1,1,0,1,0,1,3,14,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,16,0,0,0,0625,0,0,0625,0,1,0,0,0,0,0,0,0,3333,0,-0,0625,0,0,0,0
7,2017-08-30T16:13:43.6670000+00:00,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017-09-06T18:58:44.2530000+00:00,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017-08-17T21:00:49.4670000+00:00,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017-09-06T19:02:59.5400000+00:00,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017-08-17T21:06:04.7800000+00:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018-04-20T17:39:52.8830000+00:00,3,0,0,27,32,3,15,0,0,0,42,3,0,3,3,0,0,3,0,0,35,0,23,0,0,3,0,0128,0,0,724,5,489,0,0979,0,0,0,034,0,0,206,0,6754,0,0,0,0128,0,0128,0,0,0128,-0,0638,0,0213,0,0,3
10,2017-09-06T19:16:30.3670000+00:00,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
