statename,hs6,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Alabama,870323,1655.65,2727.81,3142.5,3539.26,8.5779,14.0244,16.2587,17.3305,12.63
Alabama,870333,1749.59,1621.3,1760.87,2046.18,9.0646,8.3356,9.1104,10.0194,16.2
Alabama,870324,2612.58,1915.55,1669.7,1820.76,13.5357,9.8484,8.6387,8.9156,9.05
Alabama,880000,592.72,595.33,605.61,862.7,3.0709,3.0607,3.1333,4.2243,42.45
Alabama,270112,1238.48,1113.65,694.61,511.24,6.4166,5.7256,3.5938,2.5034,-26.4
Alabama,840734,359.36,346.81,353.12,488.47,1.8619,1.783,1.8269,2.3919,38.33
Alabama,870332,449.2,382.87,436.67,466.51,2.3273,1.9684,2.2592,2.2843,6.83
Alabama,470321,322.22,359.73,343.68,413.47,1.6694,1.8495,1.7781,2.0246,20.31
Alabama,930690,95.51,63.84,174.98,408.54,0.4948,0.3282,0.9053,2.0005,133.48
Alabama,390740,464.94,599.5,510.04,379.32,2.4088,3.0822,2.6388,1.8574,-25.63
Alabama,382490,433.43,263.1,184.65,350.53,2.2456,1.3527,0.9553,1.7164,89.84
Alabama,271019,20.77,38.69,121.46,320.54,0.1076,0.1989,0.6284,1.5695,163.91
Alabama,120190,29.5,221.41,244.32,288.9,0.1529,1.1383,1.264,1.4146,18.25
Alabama,481039,115.48,78.68,212.52,253.03,0.5983,0.4045,1.0995,1.239,19.06
Alabama,870830,119.72,180.25,284.56,247.62,0.6203,0.9267,1.4723,1.2125,-12.98
Alabama,721913,25.94,118.38,60.04,218.01,0.1344,0.6086,0.3106,1.0675,263.13
Alabama,760612,164.28,112.37,238.71,190.44,0.8512,0.5777,1.235,0.9325,-20.22
Alabama,900120,236.41,264.81,138.13,166.29,1.2248,1.3615,0.7147,0.8143,20.39
Alabama,20714,350.3,262.44,168.06,160.12,1.8149,1.3493,0.8695,0.7841,-4.72
Alabama,870829,105.34,97.65,123.58,132.51,0.5458,0.502,0.6394,0.6488,7.23
Alabama,381519,55.72,70.1,115.71,130.65,0.2887,0.3604,0.5986,0.6398,12.91
Alabama,293090,185.62,174.19,137.83,126.58,0.9617,0.8955,0.7131,0.6198,-8.16
Alabama,440710,94.31,116.39,125.28,121.62,0.4886,0.5984,0.6482,0.5955,-2.93
Alabama,722592,56.28,91.51,133.7,118.39,0.2916,0.4705,0.6917,0.5797,-11.45
Alabama,940190,13.77,22.09,92.15,112.13,0.0713,0.1135,0.4768,0.549,21.68
Alaska,260800,813.8,1067.97,887.19,846.4,17.9732,20.8948,19.2046,19.4687,-4.6
Alaska,30499,341.21,347.22,374.36,398.55,7.5359,6.7934,8.1036,9.1674,6.46
Alaska,260700,389.33,367.49,327.5,382.91,8.5986,7.1899,7.0892,8.8077,16.92
Alaska,30475,283.59,319.01,298.85,294.62,6.2632,6.2413,6.469,6.7767,-1.42
Alaska,30389,251.23,269.84,246.01,254.99,5.5486,5.2794,5.3251,5.8653,3.65
Alaska,30363,231.44,252.61,267.49,251.15,5.1115,4.9422,5.7902,5.777,-6.11
Alaska,30390,245.68,224.69,255.61,177.32,5.426,4.396,5.533,4.0786,-30.63
Alaska,30311,60.57,93.85,134.94,162.28,1.3377,1.8362,2.9209,3.7326,20.26
Alaska,271019,285.03,176.15,162.51,149.78,6.2952,3.4463,3.5177,3.4451,-7.83
Alaska,30339,161.41,163.67,139.07,148.5,3.5648,3.2023,3.0103,3.4158,6.78
Alaska,261690,140.29,139.94,154.12,148,3.0984,2.7378,3.3362,3.4043,-3.97
Alaska,270900,50.44,73.9,58.18,146.75,1.1141,1.4458,1.2595,3.3754,152.21
Alaska,260300,150.2,186.47,98.97,145.74,3.3174,3.6483,2.1424,3.3523,47.25
Alaska,30312,257.67,208.27,281.52,137.95,5.6909,4.0747,6.094,3.1731,-51
Alaska,230120,77.18,100.46,100.3,96.44,1.7046,1.9656,2.1712,2.2184,-3.85
Alaska,440320,162.55,122.53,89.92,92.84,3.5901,2.3973,1.9465,2.1355,3.25
Alaska,30367,111.68,131.54,98.67,89.53,2.4666,2.5735,2.1359,2.0593,-9.27
Alaska,30614,99.25,97.34,101.53,65.92,2.1921,1.9045,2.1978,1.5163,-35.07
Alaska,880000,46.16,103.81,46.81,28.28,1.0194,2.0311,1.0132,0.6504,-39.59
Alaska,30351,45.17,38.39,24.43,22.61,0.9977,0.7512,0.5288,0.52,-7.47
Alaska,30213,21.15,19.09,17.07,17.94,0.4672,0.3735,0.3694,0.4126,5.1
Alaska,30481,3.13,6.66,10.1,16.97,0.0691,0.1304,0.2186,0.3904,68.11
Alaska,30221,18.25,11.68,14.48,14.82,0.4031,0.2286,0.3135,0.3409,2.32
Alaska,711299,0,0.07,0.12,12.4,0,0.0014,0.0025,0.2853,10461.38
Alaska,150420,6.56,11.83,11.81,11.69,0.1448,0.2314,0.2557,0.2689,-1.04
Arizona,880000,2774.14,2225.74,2967.9,2256.81,14.2422,10.4754,13.1002,10.2507,-23.96
Arizona,260300,1547.69,2177.73,2502.45,1725.58,7.9457,10.2494,11.0457,7.8377,-31.04
Arizona,880212,5.28,141.47,66.36,1009.11,0.0271,0.6658,0.2929,4.5835,1420.69
Arizona,854231,1152.09,878.44,1051.37,826.05,5.9147,4.1344,4.6407,3.752,-21.43
Arizona,854239,646.31,749.12,693.54,814.02,3.3181,3.5257,3.0613,3.6974,17.37
Arizona,930690,414.6,412.71,354.25,559.64,2.1285,1.9424,1.5637,2.5419,57.98
Arizona,853890,345.13,401.5,404.9,428.4,1.7719,1.8897,1.7872,1.9458,5.8
Arizona,854150,44.77,345.37,427.62,428.02,0.2298,1.6255,1.8875,1.9441,0.09
Arizona,271121,540.04,629.1,373.16,391.37,2.7725,2.9608,1.6471,1.7776,4.88
Arizona,851762,228.47,270.61,331.72,381.09,1.1729,1.2736,1.4642,1.7309,14.88
Arizona,853669,189.81,192.52,208.95,235.11,0.9745,0.9061,0.9223,1.0679,12.52
Arizona,902139,185.32,232.79,204.79,222.31,0.9514,1.0956,0.9039,1.0097,8.56
Arizona,853710,106.82,197.36,192.74,216.62,0.5484,0.9289,0.8507,0.9839,12.39
Arizona,841111,19.11,171.87,258.5,197.83,0.0981,0.8089,1.141,0.8986,-23.47
Arizona,902190,19.84,29.64,78.99,173.13,0.1019,0.1395,0.3486,0.7864,119.2
Arizona,853690,131.96,135.11,157.73,168.91,0.6775,0.6359,0.6962,0.7672,7.09
Arizona,853400,61.95,71.3,80.36,161.34,0.3181,0.3356,0.3547,0.7328,100.78
Arizona,848180,89.21,111.13,124.46,160.44,0.458,0.523,0.5494,0.7287,28.91
Arizona,392690,146.88,178.51,175.04,158.17,0.7541,0.8401,0.7726,0.7184,-9.64
Arizona,300490,112.81,214.79,256.71,156.32,0.5792,1.0109,1.1331,0.71,-39.1
Arizona,870829,10.09,79.17,139.75,147.7,0.0518,0.3726,0.6168,0.6709,5.69
Arizona,847150,151.25,154.98,140.84,140.75,0.7765,0.7294,0.6216,0.6393,-0.06
Arizona,903289,75.2,105.48,138.85,138.31,0.3861,0.4964,0.6129,0.6282,-0.39
Arizona,848690,102.17,85.24,122.95,127.72,0.5246,0.4012,0.5427,0.5801,3.88
Arizona,210690,89.02,139.04,123.42,121.14,0.457,0.6544,0.5448,0.5502,-1.85
Arkansas,880000,1843.92,1628.12,791.25,1082.82,25.7501,23.712,13.4808,18.972,36.85
Arkansas,853669,99.87,229.49,428.7,185.6,1.3947,3.3423,7.3038,3.2519,-56.71
Arkansas,40711,83.93,100.99,136.31,174.27,1.1721,1.4708,2.3224,3.0533,27.84
Arkansas,930690,120.42,75.49,97.88,168.69,1.6816,1.0994,1.6676,2.9555,72.34
Arkansas,481151,145.59,173.91,179.51,161.54,2.0332,2.5329,3.0584,2.8303,-10.01
Arkansas,100630,173.76,179.85,165.15,152.35,2.4266,2.6193,2.8137,2.6693,-7.75
Arkansas,20714,242.95,212.79,120.55,149.9,3.3928,3.099,2.0538,2.6264,24.35
Arkansas,390390,57.37,80.74,80.8,113.07,0.8012,1.1759,1.3766,1.9811,39.94
Arkansas,293090,125.97,115.45,134.53,110.2,1.7592,1.6814,2.2921,1.9308,-18.09
Arkansas,290399,74.35,78.08,71.62,89.7,1.0383,1.1371,1.2203,1.5716,25.24
Arkansas,100610,62.28,27.74,56.95,67.85,0.8697,0.404,0.9703,1.1887,19.13
Arkansas,210690,18.2,53.78,48.73,66.49,0.2542,0.7832,0.8302,1.1649,36.45
Arkansas,848180,99.37,111.18,79.69,59.79,1.3877,1.6192,1.3578,1.0476,-24.98
Arkansas,20713,66.33,55.27,54.63,59.72,0.9262,0.8049,0.9307,1.0464,9.33
Arkansas,850152,77.39,69.68,74.77,59.67,1.0808,1.0148,1.2739,1.0455,-20.19
Arkansas,290819,46.09,47.37,41.46,59.52,0.6436,0.6899,0.7064,1.0429,43.55
Arkansas,400821,45.68,52.08,49.33,57.07,0.638,0.7585,0.8405,1,15.7
