statename,hs6,val2013,val2014,val2015,val2016,share13,share14,share15,share16,change
Alabama,270900,346.48,2645.55,1816.26,1895.71,1.8293,11.8945,8.2945,8.5654,4.37
Alabama,870829,597.59,824.89,1158.52,1053.55,3.1551,3.7087,5.2907,4.7603,-9.06
Alabama,840734,641.58,878.81,944.31,855.84,3.3873,3.9512,4.3125,3.8669,-9.37
Alabama,870899,594.53,774.69,652.83,696.97,3.1389,3.483,2.9813,3.1491,6.76
Alabama,940190,447.8,538.95,579.37,689.53,2.3642,2.4232,2.6459,3.1155,19.01
Alabama,870840,334.19,455.04,612.59,564.32,1.7644,2.0459,2.7976,2.5498,-7.88
Alabama,870894,359.13,418.96,443.81,479.14,1.8961,1.8837,2.0268,2.1649,7.96
Alabama,840820,402.99,395.89,453.41,427.26,2.1276,1.78,2.0706,1.9305,-5.77
Alabama,870880,304.39,321.08,345.49,356.01,1.6071,1.4436,1.5778,1.6086,3.05
Alabama,870830,298.54,344.36,383.02,352.33,1.5762,1.5482,1.7492,1.592,-8.01
Alabama,880330,88.79,109.88,103.35,338.06,0.4688,0.494,0.472,1.5275,227.12
Alabama,852721,167.25,237.18,280.43,315.65,0.883,1.0664,1.2807,1.4262,12.56
Alabama,840991,465.67,511.38,420.58,298.66,2.4585,2.2992,1.9207,1.3495,-28.99
Alabama,854430,147.12,143.72,242.59,229.62,0.7767,0.6462,1.1079,1.0375,-5.35
Alabama,271019,24.82,24.62,183.26,228.91,0.131,0.1107,0.8369,1.0343,24.91
Alabama,848180,206.39,200.48,194.63,199.39,1.0897,0.9014,0.8889,0.9009,2.44
Alabama,870870,209.77,232.16,218.28,193.76,1.1075,1.0438,0.9969,0.8755,-11.23
Alabama,853710,170.42,188.22,227.54,192.11,0.8998,0.8462,1.0391,0.868,-15.57
Alabama,760120,43.78,67.47,133.55,187.76,0.2312,0.3033,0.6099,0.8484,40.59
Alabama,851150,102.73,92.99,155.36,181.77,0.5424,0.4181,0.7095,0.8213,17
Alabama,830230,166.77,174.19,191.39,179.58,0.8805,0.7831,0.874,0.8114,-6.17
Alabama,870850,82.15,185.85,138.4,174.97,0.4337,0.8356,0.632,0.7906,26.43
Alabama,851140,62.63,54.38,135.72,162.68,0.3307,0.2445,0.6198,0.7351,19.87
Alabama,854370,194.06,176.22,173.63,160.82,1.0246,0.7923,0.793,0.7266,-7.38
Alabama,903289,131.97,109.01,149.32,154.79,0.6968,0.4901,0.6819,0.6994,3.66
Alaska,271019,526.08,691.82,702.94,462.68,35.5306,34.3236,28.1891,22.0939,-34.18
Alaska,851762,1.9,21.93,34.52,237.04,0.1281,1.088,1.3844,11.3193,586.62
Alaska,851770,0.82,4.33,8.57,170.4,0.0553,0.2149,0.3438,8.137,1887.77
Alaska,260300,66.24,87.8,74.14,145.18,4.4737,4.3563,2.973,6.9326,95.83
Alaska,847130,92.59,96.61,83.01,109.48,6.2533,4.7932,3.3288,5.2281,31.9
Alaska,847150,0.56,20.69,72.44,74.22,0.0376,1.0263,2.9049,3.5443,2.46
Alaska,270900,0,310.15,33.26,69.03,0,15.3874,1.3339,3.2964,107.53
Alaska,271012,107.92,93.83,63.62,58.61,7.2889,4.6553,2.5514,2.7986,-7.89
Alaska,852351,0.03,8.61,275.36,38.14,0.0021,0.4272,11.0422,1.8213,-86.15
Alaska,854231,7.31,9.67,13,34.17,0.4936,0.4799,0.5215,1.6317,162.75
Alaska,854239,1.21,3.91,5.16,31.03,0.0815,0.1938,0.207,1.4815,501.08
Alaska,854470,0.06,0.13,0.08,27.11,0.0041,0.0062,0.0032,1.2946,34278.69
Alaska,854140,1.42,1.35,12.89,20.16,0.0957,0.0669,0.5168,0.9626,56.42
Alaska,851712,2.39,0.33,0.57,18.05,0.1615,0.0165,0.023,0.862,3051.39
Alaska,252329,4.88,5.89,5.98,18.01,0.3298,0.292,0.2396,0.8601,201.42
Alaska,730429,7.21,21.34,17.41,16.94,0.487,1.0587,0.6984,0.8088,-2.74
Alaska,847330,0.18,3.28,18.92,12.42,0.0119,0.1628,0.7585,0.5931,-34.33
Alaska,841121,8.71,11.51,3.23,11.17,0.5885,0.5712,0.1297,0.5335,245.48
Alaska,903040,0.09,0.09,0.16,9.76,0.0063,0.0042,0.0065,0.4663,5958.94
Alaska,283325,14.1,18.66,15.16,9.72,0.9526,0.9257,0.608,0.464,-35.92
Alaska,711311,0.46,0.47,0.58,8.72,0.0314,0.0234,0.0234,0.4165,1396.98
Alaska,854129,0.82,1,1.8,8.01,0.055,0.0494,0.0721,0.3825,345.19
Alaska,290511,3.66,5.62,12.17,7.06,0.2471,0.2788,0.4881,0.337,-42.01
Alaska,848180,5.67,5.43,5.79,7.03,0.3828,0.2692,0.232,0.3355,21.44
Alaska,853120,0.29,0.03,0.03,6.74,0.0197,0.0015,0.0012,0.3217,21997.48
Arizona,70200,592.44,522.93,481.89,571.33,3.1142,2.6486,2.4401,2.9069,18.56
Arizona,880240,283.2,839.54,928.95,559.96,1.4887,4.2522,4.7038,2.849,-39.72
Arizona,70960,439.09,461.78,363.92,472.63,2.3081,2.3389,1.8427,2.4047,29.87
Arizona,854140,516.54,264.88,338.88,401.28,2.7152,1.3416,1.7159,2.0417,18.42
Arizona,854430,346.2,400.1,418.69,352.23,1.8198,2.0265,2.1201,1.7921,-15.87
Arizona,851762,283.91,216.12,239.65,346.04,1.4924,1.0947,1.2135,1.7606,44.39
Arizona,853669,256.62,290.43,276.35,336.71,1.3489,1.471,1.3993,1.7131,21.84
Arizona,854239,377.37,255.2,325.45,319.16,1.9836,1.2926,1.6479,1.6238,-1.93
Arizona,854231,833.33,898.14,360.44,315.35,4.3804,4.549,1.8251,1.6044,-12.51
Arizona,841191,300.29,342.73,410.32,309.82,1.5785,1.7359,2.0777,1.5763,-24.49
Arizona,848620,639.89,462.48,191.8,295.41,3.3636,2.3424,0.9712,1.503,54.02
Arizona,841199,294.09,309.41,309.94,294.82,1.5459,1.5672,1.5694,1.5,-4.88
Arizona,853890,198.46,254.74,255.29,286.63,1.0432,1.2902,1.2927,1.4583,12.28
Arizona,848690,297.95,221.25,267.23,277.74,1.5662,1.1206,1.3532,1.4131,3.93
Arizona,70993,244.38,246.23,224.14,267.59,1.2846,1.2472,1.1349,1.3615,19.39
Arizona,842890,234.9,255.23,265.79,265.62,1.2347,1.2927,1.3459,1.3514,-0.07
Arizona,70700,259.18,270.65,239.23,233.15,1.3624,1.3708,1.2114,1.1862,-2.54
Arizona,740311,359.35,312.78,278.79,221.98,1.8889,1.5842,1.4117,1.1294,-20.38
Arizona,870829,174.02,180.57,200.82,204.65,0.9147,0.9146,1.0169,1.0413,1.91
Arizona,850440,139.67,160.91,206.79,193.14,0.7342,0.815,1.0471,0.9827,-6.6
Arizona,80711,194.57,186.84,196.06,186.77,1.0228,0.9463,0.9928,0.9503,-4.74
Arizona,630790,120.4,180.99,202.35,164.39,0.6329,0.9167,1.0246,0.8364,-18.76
Arizona,930690,107.65,138.52,102.47,163.56,0.5659,0.7016,0.5189,0.8322,59.61
Arizona,880390,7.76,65.12,27.58,152.24,0.0408,0.3298,0.1396,0.7746,452.04
Arizona,850300,30.55,55.07,85.44,149.43,0.1606,0.2789,0.4326,0.7603,74.9
Arkansas,880240,856.2,579.25,691.7,686.5,11.2343,7.612,8.7434,8.7688,-0.75
