Date,P1,P2,P3,P4,P5
04/01/1999,5864.10,4.04441E+12,4.04441E+12,689690000,689690000
05/01/1999,5928.15,6.12733E+12,1.01717E+13,1723289000,1723289000
06/01/1999,6063.15,5.48017E+12,1.56519E+13,2627137000,2627137000
07/01/1999,6098.10,3.96452E+12,1.96164E+13,3277261000,3277261000
08/01/1999,6155.20,3.44452E+12,2.3061E+13,3836873000,3836873000
11/01/1999,6124.90,2.51205E+12,2.5573E+13,4247010000,3426736000
12/01/1999,6082.40,3.43664E+12,2.90096E+13,4812023000,2861723000
13/01/1999,5865.35,3.63611E+12,3.26457E+13,5431953000,2241793000
14/01/1999,5868.25,4.19188E+12,3.68376E+13,6146286000,2956126000
15/01/1999,5838.90,3.41556E+12,4.02532E+13,6731252000,2371160000
18/01/1999,6068.55,3.76159E+12,4.40148E+13,7351102000,2991010000
19/01/1999,6077.55,3.67711E+12,4.76919E+13,7956133000,3596041000
20/01/1999,6088.95,4.39035E+12,5.20822E+13,8677168000,4317076000
21/01/1999,6073.25,4.17145E+12,5.62537E+13,9364025000,3630219000
22/01/1999,5903.55,3.45826E+12,5.97119E+13,9949818000,3044426000
25/01/1999,5827.55,2.22421E+12,6.19361E+13,10331489000,2662755000
26/01/1999,5875.35,2.97029E+12,6.49064E+13,10837040000,3168306000
27/01/1999,5924.40,3.64312E+12,6.85496E+13,11451975000,3783241000
28/01/1999,5900.50,4.01194E+12,7.25615E+13,12131907000,3103309000
29/01/1999,5886.85,3.61549E+12,7.6177E+13,12746070000,2489146000
01/02/1999,5985.35,3.50769E+12,7.96847E+13,13332116000,3075192000
02/02/1999,5973.50,3.35213E+12,8.30368E+13,13893282000,2514026000
03/02/1999,5985.50,3.73988E+12,8.67767E+13,14518105000,3138849000
04/02/1999,5983.10,3.68009E+12,9.04568E+13,15133185000,2523769000
05/02/1999,5894.60,3.09056E+12,9.35473E+13,15657489000,1999465000
08/02/1999,5828.50,2.56759E+12,9.61149E+13,16098012000,1558942000
09/02/1999,5812.30,2.96595E+12,9.90809E+13,16608301000,1048653000
10/02/1999,5738.65,3.08213E+12,1.02163E+14,17145384000,511570000
11/02/1999,5840.40,4.00532E+12,1.06168E+14,17831180000,1197366000
12/02/1999,5956.35,4.02327E+12,1.10192E+14,18506639000,1872825000
15/02/1999,5978.60,2.11988E+12,1.12311E+14,18861217000,2227403000
16/02/1999,6087.90,3.55051E+12,1.15862E+14,19444425000,2810611000
17/02/1999,6076.30,3.22291E+12,1.19085E+14,19974832000,2280204000
18/02/1999,6062.45,3.26705E+12,1.22352E+14,20513731000,1741305000
19/02/1999,6037.95,2.73854E+12,1.2509E+14,20967286000,1287750000
22/02/1999,6037.85,2.83275E+12,1.27923E+14,21436452000,818584000
23/02/1999,6148.55,3.08815E+12,1.31011E+14,21938709000,1320841000
24/02/1999,6231.70,3.70117E+12,1.34713E+14,22532635000,1914767000
25/02/1999,6256.60,4.3043E+12,1.39017E+14,23220597000,2602729000
26/02/1999,6189.65,3.23914E+12,1.42256E+14,23743913000,2079413000
01/03/1999,6108.95,2.85347E+12,1.45109E+14,24211009000,1612317000
02/03/1999,6061.55,2.74288E+12,1.47852E+14,24663514000,1159812000
03/03/1999,6077.95,3.10101E+12,1.50953E+14,25173721000,1670019000
04/03/1999,6069.65,3.6266E+12,1.5458E+14,25771218000,1072522000
05/03/1999,6182.90,3.55418E+12,1.58134E+14,26346059000,1647363000
08/03/1999,6204.55,2.69194E+12,1.60826E+14,26779925000,2081229000
09/03/1999,6242.10,3.13004E+12,1.63956E+14,27281365000,2582669000
10/03/1999,6205.35,3.6134E+12,1.6757E+14,27863669000,2000365000
11/03/1999,6300.75,4.4559E+12,1.72025E+14,28570871000,2707567000
12/03/1999,6319.10,3.74714E+12,1.75773E+14,29163858000,3300554000
15/03/1999,6220.10,6.34746E+12,1.8212E+14,30184333000,2280079000
16/03/1999,6225.40,3.29797E+12,1.85418E+14,30714094000,2809840000
17/03/1999,6152.10,3.19584E+12,1.88614E+14,31233566000,2290368000
18/03/1999,6118.15,3.57638E+12,1.9219E+14,31818118000,1705816000
19/03/1999,6173.40,3.97258E+12,1.96163E+14,32461618000,2349316000
22/03/1999,6164.50,2.91913E+12,1.99082E+14,32935156000,1875778000
23/03/1999,6086.65,3.12264E+12,2.02205E+14,33448187000,1362747000
24/03/1999,6006.60,3.99571E+12,2.062E+14,34113407000,697527000
25/03/1999,6060.15,4.00155E+12,2.10202E+14,34773713000,1357833000
26/03/1999,6100.45,4.21776E+12,2.1442E+14,35465098000,2049218000
29/03/1999,6196.05,2.71539E+12,2.17135E+14,35903344000,2487464000
30/03/1999,6258.20,3.81653E+12,2.20952E+14,36513189000,3097309000
31/03/1999,6307.85,3.08774E+12,2.24039E+14,37002697000,3586817000
01/04/1999,6339.90,3.35972E+12,2.27399E+14,37532630000,4116750000
06/04/1999,6405.55,3.2902E+12,2.30689E+14,38046279000,4630399000
07/04/1999,6459.00,3.46164E+12,2.34151E+14,38582219000,5166339000
08/04/1999,6447.45,3.04935E+12,2.372E+14,39055173000,4693385000
09/04/1999,6464.30,3.41094E+12,2.40611E+14,39582831000,5221043000
12/04/1999,6420.50,2.95949E+12,2.43571E+14,40043775000,4760099000
13/04/1999,6491.55,3.54495E+12,2.47116E+14,40589862000,5306186000
14/04/1999,6501.75,4.12095E+12,2.51237E+14,41223683000,5940007000
15/04/1999,6480.45,4.08684E+12,2.55323E+14,41854324000,5309366000
16/04/1999,6462.00,5.61793E+12,2.60941E+14,42723704000,4439986000
19/04/1999,6464.95,3.37801E+12,2.64319E+14,43246215000,4962497000
20/04/1999,6363.45,3.94664E+12,2.68266E+14,43866419000,4342293000
21/04/1999,6313.55,4.2509E+12,2.72517E+14,44539717000,3668995000
22/04/1999,6409.65,4.32831E+12,2.76845E+14,45214997000,4344275000
23/04/1999,6444.00,3.02662E+12,2.79872E+14,45684677000,4813955000
26/04/1999,6478.40,3.00175E+12,2.82873E+14,46148024000,5277302000
27/04/1999,6579.35,3.49741E+12,2.86371E+14,46679598000,5808876000
28/04/1999,6595.40,3.87498E+12,2.90246E+14,47267126000,6396404000
29/04/1999,6542.80,3.55612E+12,2.93802E+14,47810642000,5852888000
30/04/1999,6552.75,3.40608E+12,2.97208E+14,48330436000,6372682000
04/05/1999,6589.75,3.8127E+12,3.01021E+14,48909017000,6951263000
05/05/1999,6464.55,3.33869E+12,3.04359E+14,49425479000,6434801000
06/05/1999,6418.75,4.34153E+12,3.08701E+14,50101862000,5758418000
07/05/1999,6373.90,3.57745E+12,3.12278E+14,50663128000,5197152000
10/05/1999,6335.35,2.7856E+12,3.15064E+14,51102820000,4757460000
11/05/1999,6370.05,3.72649E+12,3.18791E+14,51687822000,5342462000
12/05/1999,6336.35,3.69073E+12,3.22481E+14,52270291000,4759993000
