date,price
2001-01-05,6198.1
2001-01-08,6149.6
2001-01-09,6088.1
2001-01-10,6060.6
2001-01-11,6114.9
2001-01-12,6165.5
2001-01-15,6170.3
2001-01-16,6083.3
2001-01-17,6197.4
2001-01-18,6209.9
2001-01-19,6209.3
2001-01-22,6232.0
2001-01-23,6214.7
2001-01-24,6264.4
2001-01-25,6255.6
2001-01-26,6294.3
2001-01-29,6317.0
2001-01-30,6334.5
2001-01-31,6297.5
2001-02-01,6251.8
2001-02-02,6256.4
2001-02-05,6269.2
2001-02-06,6293.4
2001-02-07,6225.6
2001-02-08,6206.1
2001-02-09,6164.3
2001-02-12,6241.4
2001-02-13,6228.5
2001-02-14,6176.2
2001-02-15,6197.9
2001-02-16,6088.3
2001-02-19,6094.0
2001-02-20,5980.1
2001-02-21,5972.4
2001-02-22,6003.1
2001-02-23,5943.7
2001-02-26,5916.7
2001-02-27,5941.2
2001-02-28,5917.9
2001-03-01,5908.6
2001-03-02,5858.6
2001-03-05,5931.3
2001-03-06,6012.0
2001-03-07,6001.8
2001-03-08,6003.2
2001-03-09,5917.3
2001-03-12,5826.5
2001-03-13,5720.7
2001-03-14,5625.9
2001-03-15,5729.2
2001-03-16,5562.8
2001-03-19,5551.6
2001-03-20,5646.8
2001-03-21,5540.7
2001-03-22,5314.8
2001-03-23,5402.3
2001-03-26,5576.6
2001-03-27,5728.1
2001-03-28,5614.0
2001-03-29,5588.4
2001-03-30,5633.7
2001-04-02,5618.5
2001-04-03,5463.1
2001-04-04,5535.7
2001-04-05,5621.8
2001-04-06,5601.5
2001-04-09,5663.3
2001-04-10,5803.0
2001-04-11,5788.1
2001-04-12,5766.6
2001-04-17,5761.1
2001-04-18,5890.2
2001-04-19,5871.6
2001-04-20,5879.8
2001-04-23,5871.3
2001-04-24,5840.3
2001-04-25,5827.5
2001-04-26,5868.3
2001-04-27,5951.4
2001-04-30,5966.9
2001-05-01,5928.0
2001-05-02,5904.2
2001-05-03,5765.8
2001-05-04,5870.3
2001-05-08,5886.4
2001-05-09,5893.7
2001-05-10,5964.0
2001-05-11,5896.8
2001-05-14,5690.5
2001-05-15,5842.9
2001-05-16,5884.0
2001-05-17,5904.5
2001-05-18,5915.0
2001-05-21,5941.6
2001-05-22,5976.6
2001-05-23,5897.4
2001-05-24,5915.9
2001-05-25,5889.8
2001-05-29,5863.9
2001-05-30,5796.9
2001-05-31,5796.1
2001-06-01,5809.6
2001-06-04,5856.5
2001-06-05,5922.5
2001-06-06,5901.5
2001-06-07,5948.3
2001-06-08,5950.6
2001-06-11,5860.5
2001-06-12,5804.0
2001-06-13,5820.2
2001-06-14,5752.5
2001-06-15,5723.0
2001-06-18,5671.6
2001-06-19,5680.4
2001-06-20,5699.6
2001-06-21,5641.4
2001-06-22,5665.7
2001-06-25,5661.9
2001-06-26,5555.7
2001-06-27,5607.9
2001-06-28,5638.4
2001-06-29,5642.5
2001-07-02,5716.7
2001-07-03,5639.9
2001-07-04,5600.5
2001-07-05,5549.6
2001-07-06,5479.2
2001-07-09,5468.9
2001-07-10,5467.9
2001-07-11,5391.9
2001-07-12,5481.6
2001-07-13,5537.0
2001-07-16,5517.1
2001-07-17,5427.8
2001-07-18,5404.6
2001-07-19,5437.4
2001-07-20,5387.1
2001-07-23,5405.3
2001-07-24,5320.2
2001-07-25,5275.7
2001-07-26,5286.1
2001-07-27,5403.1
2001-07-30,5446.7
2001-07-31,5529.1
2001-08-01,5546.9
2001-08-02,5584.5
2001-08-03,5547.6
2001-08-06,5526.4
2001-08-07,5536.8
2001-08-08,5476.5
2001-08-09,5402.9
2001-08-10,5427.2
2001-08-13,5431.1
2001-08-14,5507.8
2001-08-15,5461.6
2001-08-16,5389.8
2001-08-17,5342.1
2001-08-20,5357.4
2001-08-21,5430.3
2001-08-22,5408.7
2001-08-23,5396.5
2001-08-24,5471.9
2001-08-28,5434.7
2001-08-29,5417.6
2001-08-30,5332.7
2001-08-31,5345.0
2001-09-03,5312.1
2001-09-04,5379.6
2001-09-05,5316.0
2001-09-06,5204.3
2001-09-07,5070.3
2001-09-10,5033.7
2001-09-12,4882.1
2001-09-13,4943.6
2001-09-14,4755.7
2001-09-17,4898.9
2001-09-18,4848.7
2001-09-19,4721.7
2001-09-20,4556.9
2001-09-21,4433.7
2001-09-24,4613.9
2001-09-25,4663.4
2001-09-26,4696.1
2001-09-27,4763.6
2001-09-28,4903.4
2001-10-01,4785.6
2001-10-02,4832.3
2001-10-03,4881.8
2001-10-04,5016.2
2001-10-05,5036.0
2001-10-08,5032.7
2001-10-09,5009.8
2001-10-10,5153.1
2001-10-11,5164.9
2001-10-12,5145.5
2001-10-15,5067.3
2001-10-16,5082.6
2001-10-17,5203.4
2001-10-18,5116.0
2001-10-19,5017.7
2001-10-22,5070.4
2001-10-23,5193.3
2001-10-24,5167.6
2001-10-25,5086.6
2001-10-26,5188.6
2001-10-29,5085.9
2001-10-30,5003.6
2001-10-31,5039.7
2001-11-01,5071.2
2001-11-02,5129.5
2001-11-05,5209.1
2001-11-06,5214.1
2001-11-07,5216.3
2001-11-08,5278.1
2001-11-09,5244.2
2001-11-12,5146.2
2001-11-13,5277.1
2001-11-14,5240.7
2001-11-15,5238.2
2001-11-16,5291.0
2001-11-19,5338.0
2001-11-20,5298.7
2001-11-21,5313.8
2001-11-22,5345.9
2001-11-23,5293.2
2001-11-26,5302.5
2001-11-27,5266.0
2001-11-28,5205.2
2001-11-29,5208.5
2001-11-30,5203.6
2001-12-03,5164.6
2001-12-04,5212.1
2001-12-05,5333.5
2001-12-06,5369.8
2001-12-07,5264.7
2001-12-10,5185.0
2001-12-11,5160.8
2001-12-12,5120.0
2001-12-13,5074.9
2001-12-14,5061.0
2001-12-17,5136.3
2001-12-18,5151.1
2001-12-19,5120.6
2001-12-20,5080.2
2001-12-21,5159.2
2001-12-24,5177.4
2001-12-27,5213.2
2001-12-28,5242.4
2001-12-31,5217.4
2002-01-02,5218.3
2002-01-03,5318.8
2002-01-04,5323.8
2002-01-07,5293.6
2002-01-08,5250.4
2002-01-09,5228.5
2002-01-10,5190.7
2002-01-11,5198.6
2002-01-14,5113.5
2002-01-15,5166.0
2002-01-16,5127.6
2002-01-17,5138.4
2002-01-18,5126.8
2002-01-21,5138.5
2002-01-22,5149.2
2002-01-23,5180.6
2002-01-24,5233.1
2002-01-25,5193.0
2002-01-28,5223.6
2002-01-29,5131.4
2002-01-30,5089.3
2002-01-31,5164.8
2002-02-01,5189.7
2002-02-04,5167.3
2002-02-05,5093.4
2002-02-06,5073.8
2002-02-07,5127.0
2002-02-08,5128.1
2002-02-11,5161.8
2002-02-12,5135.7
2002-02-13,5153.9
2002-02-14,5208.7
2002-02-15,5182.5
2002-02-18,5154.3
2002-02-19,5092.5
2002-02-20,5024.1
2002-02-21,5073.3
2002-02-22,5050.8
2002-02-25,5100.7
2002-02-26,5139.0
2002-02-27,5178.4
2002-02-28,5101.0
2002-03-01,5169.0
2002-03-04,5242.0
2002-03-05,5214.0
2002-03-06,5245.5
2002-03-07,5282.1
2002-03-08,5285.7
2002-03-11,5258.9
2002-03-12,5252.5
2002-03-13,5272.0
2002-03-14,5261.4
2002-03-15,5292.7
2002-03-18,5299.9
2002-03-19,5316.1
2002-03-20,5266.9
2002-03-21,5253.3
2002-03-22,5250.5
2002-03-25,5203.6
2002-03-26,5195.5
2002-03-27,5214.7
2002-03-28,5271.8
2002-04-02,5251.4
2002-04-03,5247.8
2002-04-04,5209.5
2002-04-05,5233.6
2002-04-08,5178.6
2002-04-09,5179.6
2002-04-10,5229.1
2002-04-11,5137.4
2002-04-12,5161.0
2002-04-15,5201.4
2002-04-16,5259.9
2002-04-17,5263.9
2002-04-18,5229.4
2002-04-19,5243.6
2002-04-22,5221.5
2002-04-23,5191.0
2002-04-24,5218.2
2002-04-25,5197.5
2002-04-26,5159.0
2002-04-29,5153.9
2002-04-30,5165.6
2002-05-01,5125.5
2002-05-02,5174.1
2002-05-03,5203.1
2002-05-07,5119.9
2002-05-08,5209.1
2002-05-09,5197.6
2002-05-10,5171.2
2002-05-13,5204.8
2002-05-14,5239.5
2002-05-15,5259.1
2002-05-16,5248.5
2002-05-17,5218.0
2002-05-20,5208.1
2002-05-21,5197.2
2002-05-22,5151.9
2002-05-23,5175.3
2002-05-24,5169.1
2002-05-27,5136.3
2002-05-28,5074.2
2002-05-29,5083.0
2002-05-30,5040.8
2002-05-31,5085.1
2002-06-05,4989.1
2002-06-06,4957.6
2002-06-07,4920.4
2002-06-10,4928.2
2002-06-11,4934.8
2002-06-12,4851.7
2002-06-13,4771.9
2002-06-14,4630.8
2002-06-17,4756.8
2002-06-18,4702.0
2002-06-19,4652.4
2002-06-20,4580.3
2002-06-21,4605.3
2002-06-24,4541.9
2002-06-25,4631.0
2002-06-26,4531.0
2002-06-27,4540.6
2002-06-28,4656.4
2002-07-01,4685.8
2002-07-02,4546.8
2002-07-03,4392.6
2002-07-04,4471.2
2002-07-05,4615.6
2002-07-08,4601.3
2002-07-09,4542.9
2002-07-10,4420.1
2002-07-11,4230.0
2002-07-12,4224.1
2002-07-15,3994.5
2002-07-16,4021.9
2002-07-17,4190.6
2002-07-18,4297.3
2002-07-19,4098.3
2002-07-22,3895.5
2002-07-23,3858.0
2002-07-24,3777.1
2002-07-25,3965.9
2002-07-26,4016.6
2002-07-29,4202.7
2002-07-30,4180.9
2002-07-31,4246.2
2002-08-01,4044.5
2002-08-02,4075.5
2002-08-05,3996.4
2002-08-06,4131.0
2002-08-07,4094.4
2002-08-08,4240.5
2002-08-09,4322.4
2002-08-12,4221.6
2002-08-13,4271.7
2002-08-14,4171.1
2002-08-15,4327.5
2002-08-16,4330.0
2002-08-19,4426.8
2002-08-20,4368.9
2002-08-21,4364.8
2002-08-22,4434.7
2002-08-23,4389.8
2002-08-27,4449.7
2002-08-28,4274.0
2002-08-29,4209.3
2002-08-30,4227.3
2002-09-02,4180.9
2002-09-03,4028.6
2002-09-04,4026.9
2002-09-05,4011.0
2002-09-06,4107.2
2002-09-09,4062.4
2002-09-10,4175.5
2002-09-11,4210.7
2002-09-12,4084.9
2002-09-13,4008.0
