date,price
1992-11-01,2778.800049
1992-12-01,2846.5
1993-01-01,2807.199951
1993-02-01,2868
1993-03-01,2878.699951
1993-03-31,2813.100098
1993-04-30,2840.699951
1993-05-31,2900
1993-06-30,2926.5
1993-07-31,3100
1993-08-31,3037.5
1993-09-30,3171
1993-11-01,3166.899902
1993-12-01,3418.399902
1994-01-01,3491.800049
1994-02-01,3328.100098
1994-03-01,3086.399902
1994-03-31,3125.300049
1994-04-30,2970.5
1994-05-31,2919.199951
1994-06-30,3082.600098
1994-07-31,3251.300049
1994-08-31,3026.300049
1994-09-30,3097.399902
1994-11-01,3081.399902
1994-12-01,3065.5
1995-01-01,2991.600098
1995-02-01,3009.300049
1995-03-01,3137.899902
1995-03-31,3216.699951
1995-04-30,3319.399902
1995-05-31,3314.600098
1995-06-30,3463.300049
1995-07-31,3477.800049
1995-08-31,3508.199951
1995-09-30,3529.100098
1995-11-01,3664.300049
1995-12-01,3689.300049
1996-01-01,3759.300049
1996-02-01,3727.600098
1996-03-01,3699.699951
1996-03-31,3817.899902
1996-04-30,3747.800049
1996-05-31,3711
1996-06-30,3703.199951
1996-07-31,3867.600098
1996-08-31,3953.699951
1996-09-30,3979.100098
1996-11-01,4058
1996-12-01,4118.5
1997-01-01,4275.799805
1997-02-01,4308.299805
1997-03-01,4312.899902
1997-03-31,4436
1997-04-30,4621.299805
1997-05-31,4604.600098
1997-06-30,4907.5
1997-07-31,4817.5
1997-08-31,5244.200195
1997-09-30,4842.299805
1997-11-01,4831.799805
1997-12-01,5135.5
1998-01-01,5458.5
1998-02-01,5767.299805
1998-03-01,5932.200195
1998-03-31,5928.399902
1998-04-30,5870.700195
1998-05-31,5832.600098
1998-06-30,5837.100098
1998-07-31,5249.399902
1998-08-31,5064.399902
1998-09-30,5438.399902
1998-11-01,5743.899902
1998-12-01,5882.600098
1999-01-01,5896
1999-02-01,6175.100098
1999-03-01,6295.299805
1999-03-31,6552.200195
1999-04-30,6226.200195
1999-05-31,6318.5
1999-06-30,6231.899902
1999-07-31,6246.399902
1999-08-31,6029.799805
1999-09-30,6255.700195
1999-11-01,6597.200195
1999-12-01,6930.200195
2000-01-01,6268.5
2000-02-01,6232.600098
2000-03-01,6540.200195
2000-03-31,6327.399902
2000-04-30,6359.399902
2000-05-31,6312.700195
2000-06-30,6365.299805
2000-07-31,6672.700195
2000-08-31,6294.200195
2000-09-30,6438.399902
2000-11-01,6142.200195
2000-12-01,6222.5
2001-01-01,6297.5
2001-02-01,5917.899902
2001-03-01,5633.700195
2001-03-31,5967
2001-04-30,5796.200195
2001-05-31,5642.5
2001-06-30,5529.100098
2001-07-31,5345
2001-08-31,4903.399902
2001-09-30,5039.700195
2001-11-01,5203.600098
2001-12-01,5217.399902
2002-01-01,5164.799805
2002-02-01,5101
2002-03-01,5271.799805
2002-03-31,5165.600098
2002-04-30,5085.100098
2002-05-31,4656.399902
2002-06-30,4246.200195
2002-07-31,4227.299805
2002-08-31,3721.800049
2002-09-30,4039.699951
2002-11-01,4169.399902
2002-12-01,3940.399902
2003-01-01,3567.399902
2003-02-01,3655.600098
2003-03-01,3613.300049
2003-03-31,3926
2003-04-30,4048.100098
2003-05-31,4031.199951
2003-06-30,4157
2003-07-31,4161.100098
2003-08-31,4091.300049
2003-09-30,4287.600098
2003-11-01,4342.600098
2003-12-01,4476.899902
2004-01-01,4390.700195
2004-02-01,4492.200195
2004-03-01,4385.700195
2004-03-31,4489.700195
2004-04-30,4430.700195
2004-05-31,4464.100098
2004-06-30,4413.100098
2004-07-31,4459.299805
2004-08-31,4570.799805
2004-09-30,4624.200195
2004-11-01,4703.200195
2004-12-01,4814.299805
2005-01-01,4852.299805
2005-02-01,4968.5
2005-03-01,4894.399902
2005-03-31,4801.700195
2005-04-30,4964
2005-05-31,5113.200195
2005-06-30,5282.299805
2005-07-31,5296.899902
2005-08-31,5477.700195
2005-09-30,5317.299805
2005-11-01,5423.200195
2005-12-01,5618.799805
2006-01-01,5760.299805
2006-02-01,5791.5
2006-03-01,5964.600098
2006-03-31,6023.100098
2006-04-30,5723.799805
2006-05-31,5833.399902
2006-06-30,5928.299805
2006-07-31,5906.100098
2006-08-31,5960.799805
2006-09-30,6129.200195
2006-11-01,6048.899902
2006-12-01,6220.799805
2007-01-01,6203.100098
2007-02-01,6171.5
2007-03-01,6308
2007-03-31,6449.200195
2007-04-30,6621.5
2007-05-31,6607.899902
2007-06-30,6360.100098
2007-07-31,6303.299805
2007-08-31,6466.799805
2007-09-30,6721.600098
2007-11-01,6432.5
2007-12-01,6456.899902
2008-01-01,5879.799805
2008-02-01,5884.299805
2008-03-01,5702.100098
2008-03-31,6087.299805
2008-04-30,6053.5
2008-05-31,5625.899902
2008-06-30,5411.899902
2008-07-31,5636.600098
2008-08-31,4902.5
2008-09-30,4377.299805
2008-11-01,4288
2008-12-01,4434.200195
2009-01-01,4149.600098
2009-02-01,3830.100098
2009-03-01,3926.100098
2009-03-31,4243.700195
2009-04-30,4417.899902
2009-05-31,4249.200195
2009-06-30,4608.399902
2009-07-31,4908.899902
2009-08-31,5133.899902
2009-09-30,5044.600098
2009-11-01,5190.700195
2009-12-01,5412.899902
2010-01-01,5188.5
2010-02-01,5354.5
2010-03-01,5679.600098
2010-03-31,5553.299805
2010-04-30,5188.399902
2010-05-31,4916.899902
2010-06-30,5258
2010-07-31,5225.200195
2010-08-31,5548.600098
2010-09-30,5675.200195
2010-11-01,5528.299805
2010-12-01,5899.899902
2011-01-01,5862.899902
2011-02-01,5994
2011-03-01,5908.799805
2011-03-31,6069.899902
2011-04-30,5990
2011-05-31,5945.700195
2011-06-30,5815.200195
2011-07-31,5394.5
2011-08-31,5128.5
2011-09-30,5544.200195
2011-11-01,5505.399902
2011-12-01,5572.299805
2012-01-01,5681.600098
2012-02-01,5871.5
2012-03-01,5768.5
2012-03-31,5737.799805
2012-04-30,5320.899902
2012-05-31,5571.200195
2012-06-30,5635.299805
2012-07-31,5711.5
2012-08-31,5742.100098
2012-09-30,5782.700195
2012-11-01,5866.799805
2012-12-01,5897.799805
2013-01-01,6276.899902
2013-02-01,6360.799805
2013-03-01,6411.700195
2013-03-31,6430.100098
2013-04-30,6583.100098
2013-05-31,6215.5
2013-06-30,6621.100098
2013-07-31,6412.899902
2013-08-31,6462.200195
2013-09-30,6731.399902
2013-11-01,6650.600098
2013-12-01,6749.100098
2014-01-01,6510.399902
2014-02-01,6809.700195
2014-03-01,6598.399902
2014-03-31,6780
2014-04-30,6844.5
2014-05-31,6743.899902
2014-06-30,6730.100098
2014-07-31,6819.799805
2014-08-31,6622.700195
2014-09-30,6546.5
2014-11-01,6722.600098
2014-12-01,6566.100098
2015-01-01,6749.399902
2015-02-01,6946.700195
2015-03-01,6773
2015-03-31,6960.600098
2015-04-30,6984.399902
2015-05-31,6710.5
2015-06-30,6696.299805
2015-07-31,6247.899902
2015-08-31,6061.600098
2015-09-30,6361.100098
