date,time,time2,y1_lp1,y1_lp2,y1_tp,9_5/8__press__(Psi),y2_dr,Discharge_Total___(bbl),Suction_Rate_ADC1_(bbl/min),Suction_Total_(bbl),y3_pc,Proppant_Conc_40/70_(ppa),Speed_Auger1__(rpm),Speed_Auger2___(rpm),Speed_Auger3__(rpm),Rate_FR_(gal/min),Rate_Cleanup_(gal/min),Total_Pump_Rate_(bbl/min),Rate_VICON-NF_(gal/min),Rate_Encapsulted__(lbs/min),Channel_47_(Units),pump_rate_(Units),y2_tr,comment1,comment2,
6/11/16,0:20:18,0,22.725107,-4.786928,17.492796,1343.606201,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:19,0.02,22.759596,-4.314373,17.8057,1343.458862,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:20,0.03,22.612183,-4.641184,18.578644,1343.365967,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:21,0.05,22.654182,-4.467348,18.250164,1342.511475,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,Beginning Job,,
6/11/16,0:20:22,0.07,22.74263,-4.567478,18.047958,1341.773804,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:23,0.08,22.854719,-4.578603,18.100803,1341.341064,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:24,0.1,22.891989,-5.157128,17.109245,1341.096313,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:25,0.12,22.006956,-5.58546,17.405182,1340.871582,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:26,0.13,21.825611,-5.831889,17.330919,1341.201416,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:27,0.15,21.738276,-5.761799,17.02636,1340.518311,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:28,0.17,22.162157,-6.155641,16.818869,1340.30249,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:29,0.18,22.094849,-6.292206,16.967951,1339.660034,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:30,0.2,21.531342,-5.79295,17.595985,1339.243408,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:31,0.22,21.561937,-5.775427,17.056398,1338.669312,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:32,0.23,20.973398,-5.329852,17.9342,1338.457397,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:33,0.25,21.051277,-5.66,17.520609,1338.406128,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:34,0.27,20.899414,-5.485331,17.392389,1338.319946,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:35,0.28,21.163366,-5.619114,17.587919,1337.869873,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:36,0.3,21.27796,-5.257814,17.80125,1337.273071,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:37,0.32,21.155579,-5.376301,17.129549,1337.13562,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
6/11/16,0:20:38,0.33,21.094389,-5.888351,17.143456,1336.908081,0,0,0,0,0,0,0,0,0,0,0,7,0,-2.26E-11,0,-3.65E-13,0,,,
