ID,Distance,Value
211776,1,-3%
212043,2,-50%
217878,1,-13%
218484,1,-6%
218792,1,-90%
219248,2,-3%
220080,2,-1%
220112,2,3%
220210,1,-44%
220400,1,-18%
220935,1,-10%
221106,2,-7%
221247,1,-55%
221269,1,-60%
221272,1,-14%
221281,1,3%
221300,1,-37%
222169,1,-55%
222414,1,-12%
222431,1,-13%
222433,1,-7%
222461,1,51%
222518,1,13%
222540,1,-40%
222543,1,11%
222568,1,-35%
222622,1,-28%
222671,1,9%
222678,1,-4%
223213,1,-45%
223320,1,11%
223365,1,-31%
223367,1,-8%
223443,2,-2%
223473,2,-8%
223479,2,43%
223489,1,0%
223503,1,-13%
223537,1,-12%
223545,2,-4%
223558,1,8%
223564,2,1%
223569,1,-3%
224013,2,35%
224069,1,83%
224085,1,-40%
224098,1,-7%
224122,1,-6%
224192,1,18%
