House,Character,Season 1,Season 2,Season 3,Season 4,Season 5,Season 6,Season 7
Stark,Jon Snow,38.02,23.44,25,29.51,34.2,35.76,48.61
Stark,Sansa Stark,16.67,23.61,23.26,22.74,24.13,28.13,27.08
Stark,Arya Stark,23.26,26.91,18.4,17.88,24.13,20.14,22.57
Stark,Eddard 'Ned' Stark,64.24,0,0,0,0,5.03,0.17
Stark,Bran Stark,17.88,9.2,11.63,8.33,0,12.67,9.2
Stark,Catelyn Stark,29.34,16.67,11.46,0,0,0,0
Stark,Robb Stark,17.19,19.1,17.71,0,0,0,0
Stark,Benjen Stark,4.34,0,0,0,0,3.99,0.52
Stark,Rickon Stark,0.87,2.95,2.6,0,0,54:10:00,0
Stark,Lyanna Stark,0,0,0,0,0,1.56,0.35
Stark,Rickard Stark,0,0,0,0,0,0.35,0
Stark,Brandon Stark,0,0,0,0,0,0.35,0
Lannister,Tyrion Lannister,36.63,45.14,34.72,33.16,30.56,23.61,30.21
Lannister,Cersei Lannister,19.44,25.17,15.28,25.87,32.29,19.79,23.78
Lannister,Jaime Lannister,14.58,12.67,24.13,25,15.1,21.35,25.35
Lannister,Tywin Lannister,7.12,11.98,14.76,19.79,0.69,0,0
Lannister,Joffrey Baratheon,12.33,12.15,14.06,10.24,0,0,0
Lannister,Tommen Baratheon,0.52,2.95,0,6.77,7.99,11.81,0
Lannister,Lancel Lannister,2.26,4.51,0,0,2.78,3.65,0
Lannister,Myrcella Baratheon,0.52,1.04,0,0,5.56,1.04,0
Lannister,Kevan Lannister,1.39,0.52,0,0,1.56,3.47,0
Lannister,Alton Lannister,0,5.73,0,0,0,0,0
Targaryen,Daenerys Targaryen,37.5,26.91,21.35,19.1,28.99,19.97,37.85
Targaryen,Viserys Targaryen,14.24,0,0,0,0,0,0
Targaryen,Maester Aemon Targaryen,3.82,0,0.87,4.17,4.34,0,0
Targaryen,Rhaegar Targaryen,0,0,0,0,0,0,0.17
Targaryen,Arys II Targaryen,0,0,0,0,0,0.17,0
Westerosi Lowborn,Davos Seaworth,0,13.37,13.19,7.99,8.68,18.92,14.24
Westerosi Lowborn,Bronn,10.42,10.07,4.69,6.08,9.38,3.82,7.47
Westerosi Lowborn,Gendry,1.91,6.25,11.81,0,0,0,7.29
Westerosi Lowborn,Hot Pie,0.52,3.82,3.13,1.39,0,0,1.39
Westerosi Lowborn,Rast,2.95,0,2.78,3.13,0,0,0
Westerosi Lowborn,Olyvar,0,0,0.87,2.95,1.91,0,0
Westerosi Lowborn,Matthos Seaworth,0,4.51,0,0,0,0,0
Westerosi Lowborn,Polliver,0,0.69,0,3.47,0,0,0
Westerosi Lowborn,Dagmer Cleftjaw,0,3.65,0,0,0,0,0
Westerosi Lowborn,Armeca,2.08,1.56,0,0,0,0,0
Westerosi Lowborn,Shagga,3.47,0,0,0,0,0,0
Westerosi Lowborn,Harrag,0,0,0,0,0,0,2.6
Westerosi Lowborn,Amory Lorch,0,2.43,0,0,0,0,0
Westerosi Lowborn,Marei,0,0.35,0.35,1.22,0.17,0.17,0
Westerosi Lowborn,Marillion,2.08,0,0,0,0,0,0
Westerosi Lowborn,Mord,1.91,0,0,0,0,0,0
Westerosi Lowborn,Lommy,0.17,1.74,0,0,0,0,0
Westerosi Lowborn,Daisy,0,1.74,0,0,0,0,0
Westerosi Lowborn,Tickler,0,1.22,0,0,0,0,0
Westerosi Lowborn,Rorge,0,0.69,0,0.52,0,0,0
Westerosi Lowborn,Mhaegen,0.52,0.35,0,0,0,0,0
Westerosi Lowborn,Biter,0,0.69,0,0.17,0,0,0
Wildling,Tormund Giantsbane,0,0,6.08,5.03,8.51,9.38,9.55
Wildling,Gilly,0,2.26,9.38,6.42,8.16,10.59,1.74
