House,Character,Season,Value
Stark,Jon Snow,7,48.61
Stark,Jon Snow,1,38.02
Stark,Jon Snow,6,35.76
Stark,Jon Snow,5,34.2
Stark,Jon Snow,4,29.51
Stark,Jon Snow,3,25
Stark,Jon Snow,2,23.44
Stark,Sansa Stark,6,28.13
Stark,Sansa Stark,7,27.08
Stark,Sansa Stark,5,24.13
Stark,Sansa Stark,2,23.61
Stark,Sansa Stark,3,23.26
Stark,Sansa Stark,4,22.74
Stark,Sansa Stark,1,16.67
Stark,Arya Stark,2,26.91
Stark,Arya Stark,5,24.13
Stark,Arya Stark,1,23.26
Stark,Arya Stark,7,22.57
Stark,Arya Stark,6,20.14
Stark,Arya Stark,3,18.4
Stark,Arya Stark,4,17.88
Stark,Eddard 'Ned' Stark,1,64.24
Stark,Eddard 'Ned' Stark,6,4.17
Stark,Eddard 'Ned' Stark,6,0.87
Stark,Eddard 'Ned' Stark,7,0.17
Stark,Bran Stark,1,17.88
Stark,Bran Stark,6,12.67
Stark,Bran Stark,3,11.63
Stark,Bran Stark,2,9.2
Stark,Bran Stark,7,9.2
Stark,Bran Stark,4,8.33
Stark,Catelyn Stark,1,29.34
Stark,Catelyn Stark,2,16.67
Stark,Catelyn Stark,3,11.46
Stark,Robb Stark,2,19.1
Stark,Robb Stark,3,17.71
Stark,Robb Stark,1,17.19
Stark,Benjen Stark,1,4.34
Stark,Benjen Stark,6,3.3
Stark,Benjen Stark,6,0.69
Stark,Benjen Stark,7,0.52
Stark,Rickon Stark,2,2.95
Stark,Rickon Stark,3,2.6
Stark,Rickon Stark,6,2.26
Stark,Rickon Stark,1,0.87
Stark,Lyanna Stark,6,1.39
Stark,Lyanna Stark,7,0.35
Stark,Lyanna Stark,6,0.17
Stark,Rickard Stark,6,0.35
Stark,Brandon Stark,6,0.35
Lannister,Tyrion Lannister,2,45.14
Lannister,Tyrion Lannister,1,36.63
Lannister,Tyrion Lannister,3,34.72
Lannister,Tyrion Lannister,4,33.16
Lannister,Tyrion Lannister,5,30.56
Lannister,Tyrion Lannister,7,30.21
Lannister,Tyrion Lannister,6,23.61
Lannister,Cersei Lannister,5,32.29
Lannister,Cersei Lannister,4,25.87
Lannister,Cersei Lannister,2,25.17
Lannister,Cersei Lannister,7,23.78
Lannister,Cersei Lannister,6,19.79
Lannister,Cersei Lannister,1,19.44
Lannister,Cersei Lannister,3,15.28
Lannister,Jaime Lannister,7,25.35
Lannister,Jaime Lannister,4,25
Lannister,Jaime Lannister,3,24.13
Lannister,Jaime Lannister,6,21.35
Lannister,Jaime Lannister,5,15.1
Lannister,Jaime Lannister,1,14.58
Lannister,Jaime Lannister,2,12.67
Lannister,Tywin Lannister,4,19.79
Lannister,Tywin Lannister,3,14.76
Lannister,Tywin Lannister,2,11.98
Lannister,Tywin Lannister,1,7.12
Lannister,Tywin Lannister,5,0.69
Lannister,Joffrey Baratheon,3,14.06
Lannister,Joffrey Baratheon,1,12.33
Lannister,Joffrey Baratheon,2,12.15
Lannister,Joffrey Baratheon,4,10.24
Lannister,Tommen Baratheon,6,11.81
Lannister,Tommen Baratheon,5,7.99
Lannister,Tommen Baratheon,4,6.77
Lannister,Tommen Baratheon,2,2.95
Lannister,Tommen Baratheon,1,0.52
Lannister,Lancel Lannister,2,4.51
Lannister,Lancel Lannister,6,3.65
Lannister,Lancel Lannister,5,2.78
Lannister,Lancel Lannister,1,2.26
Lannister,Myrcella Baratheon,5,5.56
Lannister,Myrcella Baratheon,2,1.04
Lannister,Myrcella Baratheon,6,1.04
Lannister,Myrcella Baratheon,1,0.52
Lannister,Kevan Lannister,6,3.47
Lannister,Kevan Lannister,5,1.56
Lannister,Kevan Lannister,1,1.39
Lannister,Kevan Lannister,2,0.52
Lannister,Alton Lannister,2,5.73
Targaryen,Daenerys Targaryen,7,37.85
Targaryen,Daenerys Targaryen,1,37.5
Targaryen,Daenerys Targaryen,5,28.99
Targaryen,Daenerys Targaryen,2,26.91
Targaryen,Daenerys Targaryen,3,21.35
Targaryen,Daenerys Targaryen,6,19.97
Targaryen,Daenerys Targaryen,4,19.1
Targaryen,Viserys Targaryen,1,14.24
Targaryen,Maester Aemon Targaryen,5,4.34
Targaryen,Maester Aemon Targaryen,4,4.17
Targaryen,Maester Aemon Targaryen,1,3.82
Targaryen,Maester Aemon Targaryen,3,0.87
Targaryen,Rhaegar Targaryen,7,0.17
Targaryen,Arys II Targaryen,6,0.17
Westerosi Lowborn,Davos Seaworth,6,18.92
