"name","group","Read BW demand","Read BW supply","Read BW % diff","Write BW demand","Write BW supply","Write BW % diff","Read Latency","Write Latency","Read Outstanding","Write Outstanding"
"cpu0_llc0_0_100","cpu0",0,0,0.00,19200,6219,-67.61,0,195,0,13
"cpu0_llc1_0_100","cpu0",0,0,0.00,19200,5668,-70.48,0,200,0,13
"cpu0_llc2_0_100","cpu0",0,0,0.00,19200,5229,-72.76,0,242,0,13
"cpu0_llc3_0_100","cpu0",0,0,0.00,19200,5699,-70.32,0,217,0,13
"cpu1_llc0_0_100","cpu1",0,0,0.00,25600,17053,-33.39,0,85,0,22
"cpu1_llc1_0_100","cpu1",0,0,0.00,25600,17055,-33.38,0,70,0,18
"cpu1_llc2_0_100","cpu1",0,0,0.00,25600,17057,-33.37,0,60,0,16
"cpu1_llc3_0_100","cpu1",0,0,0.00,25600,17053,-33.39,0,75,0,20
"cpu2_llc0_0_100","cpu2",0,0,0.00,25600,17053,-33.39,0,85,0,22
"cpu2_llc1_0_100","cpu2",0,0,0.00,25600,17056,-33.38,0,70,0,18
"cpu2_llc2_0_100","cpu2",0,0,0.00,25600,17057,-33.37,0,60,0,16
"cpu2_llc3_0_100","cpu2",0,0,0.00,25600,17054,-33.38,0,75,0,20
"elf_llc0_0_100","elf",0,0,0.00,4800,3832,-20.17,0,178,0,10
"elf_llc1_0_100","elf",0,0,0.00,4800,3831,-20.19,0,192,0,11
"elf_llc2_0_100","elf",0,0,0.00,4800,3831,-20.19,0,182,0,10
"elf_llc3_0_100","elf",0,0,0.00,4800,3832,-20.17,0,170,0,10
"gpu0_llc0_0_100","gpu0",0,0,0.00,25600,17050,-33.40,0,98,0,26
"gpu0_llc1_0_100","gpu0",0,0,0.00,25600,17053,-33.39,0,82,0,22
"gpu0_llc2_0_100","gpu0",0,0,0.00,25600,17052,-33.39,0,88,0,23
"gpu0_llc3_0_100","gpu0",0,0,0.00,25600,17048,-33.41,0,102,0,27
"gpu1_llc0_0_100","gpu1",0,0,0.00,25600,17050,-33.40,0,105,0,14
"gpu1_llc1_0_100","gpu1",0,0,0.00,25600,17052,-33.39,0,90,0,12
"gpu1_llc2_0_100","gpu1",0,0,0.00,25600,17051,-33.39,0,95,0,12
"gpu1_llc3_0_100","gpu1",0,0,0.00,25600,17050,-33.40,0,110,0,14
"npu_llc0_0_100","npu",0,0,0.00,6400,5112,-20.12,0,189,0,7
"npu_llc1_0_100","npu",0,0,0.00,6400,5114,-20.10,0,174,0,6
"npu_llc2_0_100","npu",0,0,0.00,6400,5114,-20.10,0,179,0,7
"npu_llc3_0_100","npu",0,0,0.00,6400,5112,-20.12,0,194,0,7
"pcie0_llc0_0_100","pcie0",0,0,0.00,19200,17039,-11.25,0,350,0,2
