date,price
2016-07-05,6545.399902
2016-07-06,6463.600098
2016-07-07,6533.799805
2016-07-08,6590.600098
2016-07-11,6682.899902
2016-07-12,6680.700195
2016-07-13,6670.399902
2016-07-14,6654.5
2016-07-15,6669.200195
2016-07-18,6695.399902
2016-07-19,6697.399902
2016-07-20,6729
2016-07-21,6699.899902
2016-07-22,6730.5
2016-07-25,6710.100098
2016-07-26,6724
2016-07-27,6750.399902
2016-07-28,6721.100098
2016-07-29,6724.399902
2016-08-01,6694
2016-08-02,6645.399902
2016-08-03,6634.399902
2016-08-04,6740.200195
2016-08-05,6793.5
2016-08-08,6809.100098
2016-08-09,6851.299805
2016-08-10,6866.399902
2016-08-11,6914.700195
2016-08-12,6916
2016-08-15,6941.200195
2016-08-16,6893.899902
2016-08-17,6859.200195
2016-08-18,6869
2016-08-19,6859
2016-08-22,6828.5
2016-08-23,6868.5
2016-08-24,6835.799805
2016-08-25,6816.899902
2016-08-26,6838.100098
2016-08-30,6820.799805
2016-08-31,6781.5
2016-09-01,6746
2016-09-02,6894.600098
2016-09-05,6879.399902
2016-09-06,6826.100098
2016-09-07,6846.600098
2016-09-08,6858.700195
2016-09-09,6777
2016-09-12,6700.899902
2016-09-13,6665.600098
2016-09-14,6673.299805
2016-09-15,6730.299805
2016-09-16,6710.299805
2016-09-19,6813.600098
2016-09-20,6830.799805
2016-09-21,6834.799805
2016-09-22,6911.399902
2016-09-23,6909.399902
2016-09-26,6818
2016-09-27,6807.700195
2016-09-28,6849.399902
2016-09-29,6919.399902
2016-09-30,6899.299805
2016-10-03,6983.5
2016-10-04,7074.299805
2016-10-05,7033.299805
2016-10-06,7000
2016-10-07,7044.399902
2016-10-10,7097.5
2016-10-11,7070.899902
2016-10-12,7024
2016-10-13,6977.700195
2016-10-14,7013.600098
2016-10-17,6947.600098
2016-10-18,7000.100098
2016-10-19,7021.899902
2016-10-20,7026.899902
2016-10-21,7020.5
2016-10-24,6986.399902
2016-10-25,7017.600098
2016-10-26,6958.100098
2016-10-27,6986.600098
2016-10-28,6996.299805
2016-10-31,6954.200195
2016-11-01,6917.100098
2016-11-02,6845.399902
2016-11-03,6790.5
2016-11-04,6693.299805
2016-11-07,6806.899902
2016-11-08,6843.100098
2016-11-09,6911.799805
2016-11-10,6828
2016-11-11,6730.399902
2016-11-14,6753.200195
2016-11-15,6792.700195
2016-11-16,6749.700195
2016-11-17,6794.700195
2016-11-18,6775.799805
2016-11-21,6778
2016-11-22,6819.700195
2016-11-23,6817.700195
2016-11-24,6829.200195
2016-11-25,6840.799805
2016-11-28,6799.5
2016-11-29,6772
2016-11-30,6783.799805
2016-12-01,6752.899902
2016-12-02,6730.700195
2016-12-05,6746.799805
2016-12-06,6779.799805
2016-12-07,6902.200195
2016-12-08,6931.600098
2016-12-09,6954.200195
2016-12-12,6890.399902
2016-12-13,6968.600098
2016-12-14,6949.200195
2016-12-15,6999
2016-12-16,7011.600098
2016-12-19,7017.200195
2016-12-20,7044
2016-12-21,7041.399902
2016-12-22,7063.700195
2016-12-23,7068.200195
2016-12-28,7106.100098
2016-12-29,7120.299805
2016-12-30,7142.799805
2017-01-03,7177.899902
2017-01-04,7189.700195
2017-01-05,7195.299805
2017-01-06,7210.100098
2017-01-09,7237.799805
2017-01-10,7275.5
2017-01-11,7290.5
2017-01-12,7292.399902
2017-01-13,7337.799805
2017-01-16,7327.100098
2017-01-17,7220.399902
2017-01-18,7247.600098
2017-01-19,7208.399902
2017-01-20,7198.399902
2017-01-23,7151.200195
2017-01-24,7150.299805
2017-01-25,7164.399902
2017-01-26,7161.5
2017-01-27,7184.5
2017-01-30,7118.5
2017-01-31,7099.200195
2017-02-01,7107.700195
2017-02-02,7140.799805
2017-02-03,7188.299805
2017-02-06,7172.200195
2017-02-07,7186.200195
2017-02-08,7188.799805
2017-02-09,7229.5
2017-02-10,7258.799805
2017-02-13,7278.899902
2017-02-14,7268.600098
2017-02-15,7302.399902
2017-02-16,7277.899902
2017-02-17,7300
2017-02-20,7299.899902
2017-02-21,7274.799805
2017-02-22,7302.299805
2017-02-23,7271.399902
2017-02-24,7243.700195
2017-02-27,7253
2017-02-28,7263.399902
2017-03-01,7382.899902
2017-03-02,7382.399902
2017-03-03,7374.299805
2017-03-06,7350.100098
2017-03-07,7339
2017-03-08,7334.600098
2017-03-09,7315
2017-03-10,7343.100098
2017-03-13,7367.100098
2017-03-14,7357.899902
2017-03-15,7368.600098
2017-03-16,7416
2017-03-17,7425
2017-03-20,7429.799805
2017-03-21,7378.299805
2017-03-22,7324.700195
2017-03-23,7340.700195
2017-03-24,7336.799805
2017-03-27,7293.5
2017-03-28,7343.399902
2017-03-29,7373.700195
2017-03-30,7369.5
2017-03-31,7322.899902
2017-04-03,7282.700195
2017-04-04,7321.799805
2017-04-05,7331.700195
2017-04-06,7303.200195
2017-04-07,7349.399902
2017-04-10,7348.899902
2017-04-11,7365.5
2017-04-12,7349
2017-04-13,7327.600098
2017-04-18,7147.5
2017-04-19,7114.399902
2017-04-20,7118.5
2017-04-21,7114.600098
2017-04-24,7264.700195
2017-04-25,7275.600098
2017-04-26,7288.700195
2017-04-27,7237.200195
2017-04-28,7203.899902
2017-05-02,7250.100098
2017-05-03,7234.5
2017-05-04,7248.100098
2017-05-05,7297.399902
2017-05-08,7300.899902
2017-05-09,7342.200195
